Nome,Ruolo,Team,img,avatars,Fanta Media 22-23,Media Voto 22-23,Gol 22-23,Assist 22-23,Fanta Media 23-24,Media Voto 23-24,Gol 23-24,Assist 23-24,Fanta Media 24-25,Media Voto 24-25,Gol 24-25,Assist 24-25,PMA,Quot.,MV,FMV,Presenze,Minuti,Gol,Assist,Ammonizioni,Espulsioni,Rig. Segnati,Rig. Sbagliati,Gol Subiti,Rig. Parati,Prezzo,Titolarità,Affidabilità,Integrità,Prezzo%,Fascia,FMV Exp.,Pt. Tit.,Percentuale Titolare,FantaValue,Tiri_FV,Passaggi_FV,Difesa_FV,Possesso_FV,Azioni_FV,Player1T1,Player2T1,Player1T2,Player2T2,PrezzoTerzetto1,AffinitaTerzetto1,PrezzoTerzetto2,AffinitaTerzetto2,SP1,SP2,SP3,SP4,SP5,PMA300,PMA500,PMA1000,Prezzo300,Prezzo500,Prezzo1000,PrezzoTerzetto1300,PrezzoTerzetto1500,PrezzoTerzetto11000,PrezzoTerzetto2300,PrezzoTerzetto2500,PrezzoTerzetto21000,Diagnosi,11_08_PREZZO_300,11_08_PREZZO_500,11_08_PREZZO_1000,18_08_PREZZO_300,18_08_PREZZO_500,18_08_PREZZO_1000,22_08_PREZZO_300,22_08_PREZZO_500,22_08_PREZZO_1000,24_08_PREZZO_300,24_08_PREZZO_500,24_08_PREZZO_1000,26_08_PREZZO_300,26_08_PREZZO_500,26_08_PREZZO_1000,28_08_PREZZO_300,28_08_PREZZO_500,28_08_PREZZO_1000,02_09_PREZZO_300,02_09_PREZZO_500,02_09_PREZZO_1000,11_08_PMA_300,11_08_PMA_500,11_08_PMA_1000,18_08_PMA_300,18_08_PMA_500,18_08_PMA_1000,22_08_PMA_300,22_08_PMA_500,22_08_PMA_1000,24_08_PMA_300,24_08_PMA_500,24_08_PMA_1000,26_08_PMA_300,26_08_PMA_500,26_08_PMA_1000,28_08_PMA_300,28_08_PMA_500,28_08_PMA_1000,02_09_PMA_300,02_09_PMA_500,02_09_PMA_1000,Titolarita 24/25,Rigorista,CalciPiazzati
PINAMONTI,A,GEN,pinamonti.png,pinamonti_avatar.png,6.06,5.67,5,0,6.7,5.92,11,1,7.5,6.0,1,0,0.06,18,5.92,6.7,38.0,3104.0,11,1.0,4.0,0.0,2.0,1.0,0.0,0.0,22,4,3,4,4.4,Terza,6.7,37.0,95.0,81.5,81.1,78.2,82.4,82.5,80.2,CASTELLANOS,MOSQUERA,DALLINGA,LUKAKU,65.0,100.0,213.0,97.0,DJURIC,ADAMS C.,BELOTTI,NOSLIN,LUCCA,18,30,60,13,22,44,39,65,130,128,213,426,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,37.0,74.0,17.0,29.0,58.0,24.0,40.0,80.0,24.0,40.0,80.0,28.0,46.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,68.0,21.0,35.0,70.0,18.0,30.0,60.0,19.0,31.0,62.0,26.0,44.0,88.0,75.0,1.0,
SOLBAKKEN,A,EMP,solbakken.png,solbakken_avatar.png,6.39,5.94,1,2,5.5,5.5,0,0,5.67,5.83,0,0,0.002,3,5.5,5.5,1.0,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3,4,0.2,Outsider,6.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,DALLINGA,MORATA,CASTELLANOS,MOSQUERA,148.0,100.0,44.0,100.0,CERRI,KARAMOH,SHOMURODOV,MBANGULA,CORREA,1,1,2,1,1,2,89,148,296,26,44,88,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,,
HAPS,D,VEN,haps.png,haps_avatar.png,-,-,0,0,6.0,5.93,0,1,5.0,5.5,0,0,0.0,1,5.93,6.0,16.0,770.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,0.2,Non Impostata,5.95,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BREMER,BUONGIORNO,POSCH,HERNANDEZ T.,64.0,100.0,60.0,97.0,MORENO M.,SERGI ROBERTO,SOSA B.,PELMARD,SABELLI,0,0,0,1,1,2,38,64,128,36,60,120,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,25.0,,
CERRI,A,COM,cerri.png,cerri_avatar.png,-,-,0,0,6.05,5.86,1,0,5.25,5.25,0,0,0.0,1,5.86,6.05,12.0,553.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,2,3,5,0.2,Non Impostata,5.96,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOOKMAN,MORATA,LOOKMAN,DJURIC,213.0,97.0,123.0,97.0,MUTANDWA,SCAMACCA,KARAMOH,SOLBAKKEN,SHOMURODOV,0,0,0,1,1,2,128,213,426,74,123,246,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,25.0,,
EKHATOR,A,GEN,ekhator.png,ekhator_avatar.png,-,-,0,0,-,-,0,0,0.0,0.0,0,0,0.0,1,0.0,0.0,1.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,5,0.2,Non Impostata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASTELLANOS,MOSQUERA,DALLINGA,LUKAKU,44.0,100.0,192.0,97.0,PAVOLETTI,ALMQVIST,ODGAARD,OKAFOR,JOVIC,0,0,0,1,1,2,26,44,88,115,192,384,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,25.0,,
MBANGULA,A,JUV,mbangula.png,mbangula_avatar.png,-,-,0,0,-,-,0,0,8.33,6.67,1,2,0.0,1,7.0,11.0,16.0,533.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.2,Non Impostata,6.67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KRSTOVIC,ZAPATA D.,LUKAKU,POHJANPALO,133.0,100.0,203.0,100.0,SOLBAKKEN,SHOMURODOV,CORREA,SARR A.,EKONG,0,0,0,1,1,2,80,133,266,122,203,406,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,10.0,4.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,7.0,2.0,3.0,7.0,2.0,3.0,7.0,50.0,,
NERES,C,NAP,neres.png,neres_avatar.png,-,-,6,8,-,-,5,7,7.75,6.75,0,2,0.069,20,0.0,0.0,24.0,1163.0,5,7.0,1.0,0.0,0.0,0.0,0.0,0.0,13,4,4,3,2.6,Seconda,6.97,12.0,81.0,85.3,99.0,99.0,80.3,99.0,99.0,KOOPMEINERS,ORISTANIO,ORSOLINI,ZURKOWSKI,76.0,100.0,57.0,97.0,THURAM K.,TCHAOUNA,ORISTANIO,MALINOVSKYI,ZIELINSKI,21,34,69,8,13,26,46,76,152,34,57,114,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,26.0,8.0,13.0,26.0,11.0,19.0,38.0,19.0,32.0,64.0,20.0,34.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,34.0,69.0,19.0,31.0,62.0,19.0,32.0,63.0,20.0,34.0,67.0,24.0,40.0,80.0,50.0,,
BYAR,C,BOL,byar.png,byar_a,-,-,0,0,-,-,0,0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3,5,0.2,Non Impostata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,ZURKOWSKI,PULISIC,COLPANI,VLASIC,70.0,100.0,48.0,100.0,MALEH,ALIDOU,RUI MODESTO,MARIN,FOFANA Y.,0,0,0,1,1,2,42,70,140,29,48,96,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,2.0,25.0,,
TURATI,P,MON,turati.png,turati_avatar.png,-,-,0,0,4.42,6.19,0,0,5.0,7.0,0,0,0.0,8,6.19,4.42,31.0,2745.0,0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,1,4,3,5,0.2,Quarta,4.78,31.0,89.0,84.7,0.0,0.0,0.0,0.0,0.0,CARNESECCHI,AUDERO,SKORUPSKI,DE GEA,38.0,97.0,33.0,97.0,STANKOVIC F.,TORRIANI,FRUCHTL,SAVA,RUI PATRICIO,0,0,0,1,1,2,23,38,76,20,33,66,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,6.0,1.0,2.0,4.0,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,4.0,50.0,,
SAVA,P,UDI,sava.png,sava_avatar.png,-,-,0,0,-,-,0,0,0.0,0.0,0,0,0.0,1,0.0,0.0,40.0,3600.0,0,0.0,3.0,0.0,0.0,0.0,43.0,2.0,1,0,0,0,0.2,Outsider,4.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VASQUEZ D.,MAIGNAN,CARNESECCHI,AUDERO,46.0,100.0,38.0,97.0,TURATI,FRUCHTL,RUI PATRICIO,CRAGNO,CORVI,0,0,0,1,1,2,28,46,92,23,38,76,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,25.0,,
