Nome,Ruolo,Team,img,avatars,Fanta Media 22-23,Media Voto 22-23,Gol 22-23,Assist 22-23,Fanta Media 23-24,Media Voto 23-24,Gol 23-24,Assist 23-24,Fanta Media 24-25,Media Voto 24-25,Gol 24-25,Assist 24-25,PMA,Quot.,MV,FMV,Presenze,Minuti,Gol,Assist,Ammonizioni,Espulsioni,Rig. Segnati,Rig. Sbagliati,Gol Subiti,Rig. Parati,Prezzo,Titolarità,Affidabilità,Integrità,Prezzo%,Fascia,FMV Exp.,Pt. Tit.,Percentuale Titolare,FantaValue,Tiri_FV,Passaggi_FV,Difesa_FV,Possesso_FV,Azioni_FV,Player1T1,Player2T1,Player1T2,Player2T2,PrezzoTerzetto1,AffinitaTerzetto1,PrezzoTerzetto2,AffinitaTerzetto2,SP1,SP2,SP3,SP4,SP5,PMA300,PMA500,PMA1000,Prezzo300,Prezzo500,Prezzo1000,PrezzoTerzetto1300,PrezzoTerzetto1500,PrezzoTerzetto11000,PrezzoTerzetto2300,PrezzoTerzetto2500,PrezzoTerzetto21000,Diagnosi,11_08_PREZZO_300,11_08_PREZZO_500,11_08_PREZZO_1000,18_08_PREZZO_300,18_08_PREZZO_500,18_08_PREZZO_1000,22_08_PREZZO_300,22_08_PREZZO_500,22_08_PREZZO_1000,24_08_PREZZO_300,24_08_PREZZO_500,24_08_PREZZO_1000,26_08_PREZZO_300,26_08_PREZZO_500,26_08_PREZZO_1000,28_08_PREZZO_300,28_08_PREZZO_500,28_08_PREZZO_1000,02_09_PREZZO_300,02_09_PREZZO_500,02_09_PREZZO_1000,11_08_PMA_300,11_08_PMA_500,11_08_PMA_1000,18_08_PMA_300,18_08_PMA_500,18_08_PMA_1000,22_08_PMA_300,22_08_PMA_500,22_08_PMA_1000,24_08_PMA_300,24_08_PMA_500,24_08_PMA_1000,26_08_PMA_300,26_08_PMA_500,26_08_PMA_1000,28_08_PMA_300,28_08_PMA_500,28_08_PMA_1000,02_09_PMA_300,02_09_PMA_500,02_09_PMA_1000,Titolarita 24/25,Rigorista,CalciPiazzati
DI GREGORIO,P,JUV,di_gregorio.png,di_gregorio_avatar.png,4.99,6.28,0,1,5.47,6.35,0,0,6.0,6.0,0,0,0.1,17,6.35,5.47,33.0,2874.0,0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,47,4,5,4,9.4,Prima,5.41,33.0,100.0,81.8,77.3,80.9,82.7,85.1,79.7,AUDERO,GOLLINI,GOLLINI,SUZUKI,59.0,97.0,57.0,97.0,CARNESECCHI,SVILAR,MERET,MAIGNAN,SOMMER,30,50,100,28,47,94,35,59,118,34,57,114,,29.0,49.0,98.0,28.0,47.0,94.0,29.0,49.0,98.0,29.0,49.0,98.0,29.0,49.0,98.0,31.0,51.0,102.0,31.0,52.0,104.0,30.0,50.0,100.0,30.0,50.0,100.0,30.0,50.0,100.0,30.0,50.0,100.0,33.0,55.0,110.0,33.0,55.0,110.0,31.0,52.0,104.0,75.0,,
SOMMER,P,INT,sommer.png,sommer_avatar.png,-,-,0,0,5.63,6.12,0,0,6.33,6.0,0,0,0.104,18,6.12,5.63,34.0,3060.0,0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,53,4,5,4,10.6,Prima,5.45,34.0,100.0,82.5,77.3,82.0,83.5,86.4,80.0,JORONEN,MONTIPO',SCUFFET,SUZUKI,60.0,93.0,58.0,91.0,CARNESECCHI,SVILAR,MERET,MAIGNAN,DI GREGORIO,31,52,104,32,53,106,36,60,120,35,58,116,,32.0,54.0,108.0,32.0,53.0,106.0,32.0,53.0,106.0,32.0,53.0,106.0,32.0,53.0,106.0,32.0,53.0,106.0,32.0,53.0,106.0,31.0,52.0,104.0,31.0,52.0,104.0,31.0,52.0,104.0,31.0,52.0,104.0,34.0,56.0,112.0,34.0,56.0,112.0,31.0,52.0,104.0,75.0,,
MAIGNAN,P,MIL,maignan.png,maignan_avatar.png,5.34,6.16,0,0,4.86,6.05,0,1,4.5,6.5,0,0,0.094,15,6.05,4.86,29.0,2610.0,0,1.0,1.0,1.0,0.0,0.0,34.0,0.0,43,5,4,3,8.6,Prima,5.08,29.0,100.0,81.5,77.5,80.4,82.8,85.1,79.0,SKORUPSKI,VASQUEZ D.,VASQUEZ D.,FALCONE,60.0,100.0,56.0,100.0,CARNESECCHI,SVILAR,MERET,DI GREGORIO,SOMMER,28,47,94,26,43,86,36,60,120,34,56,112,,26.0,43.0,86.0,26.0,43.0,86.0,26.0,44.0,88.0,26.0,44.0,88.0,26.0,44.0,88.0,26.0,43.0,86.0,26.0,43.0,86.0,28.0,46.0,92.0,28.0,47.0,94.0,28.0,47.0,94.0,28.0,47.0,93.0,30.0,50.0,100.0,30.0,50.0,100.0,25.0,42.0,84.0,95.0,,
SVILAR,P,ROM,svilar.png,svilar_avatar.png,4.83,6.0,0,0,5.37,6.47,0,0,5.67,6.33,0,0,0.078,13,6.47,5.37,15.0,1350.0,0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,37,5,5,5,7.4,Seconda,5.19,15.0,100.0,70.5,66.5,74.8,71.7,75.9,71.3,VASQUEZ D.,MONTIPO',DE GEA,CRAGNO,45.0,97.0,55.0,97.0,PROVEDEL,CARNESECCHI,MERET,MAIGNAN,DI GREGORIO,23,39,78,22,37,74,27,45,90,33,55,110,,22.0,37.0,74.0,22.0,37.0,74.0,22.0,37.0,74.0,22.0,37.0,74.0,22.0,37.0,74.0,22.0,37.0,74.0,22.0,36.0,72.0,23.0,39.0,78.0,23.0,39.0,78.0,23.0,39.0,78.0,23.0,39.0,78.0,26.0,44.0,88.0,26.0,44.0,88.0,21.0,35.0,70.0,95.0,,
MERET,P,NAP,meret.png,meret_avatar.png,5.56,6.18,0,0,4.97,6.06,0,0,5.0,6.33,0,0,0.084,15,6.06,4.97,31.0,2774.0,0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,39,4,4,3,7.8,Prima,5.17,31.0,100.0,81.3,77.3,79.0,83.4,83.4,78.1,SKORUPSKI,VASQUEZ D.,SKORUPSKI,JORONEN,56.0,97.0,55.0,97.0,CARNESECCHI,SVILAR,MAIGNAN,DI GREGORIO,SOMMER,25,42,84,23,39,78,34,56,112,33,55,110,,25.0,41.0,82.0,23.0,39.0,78.0,23.0,38.0,76.0,23.0,38.0,76.0,23.0,39.0,78.0,23.0,38.0,76.0,25.0,41.0,82.0,25.0,41.0,82.0,25.0,42.0,84.0,24.0,40.0,81.0,24.0,40.0,80.0,27.0,45.0,90.0,27.0,45.0,90.0,23.0,38.0,77.0,75.0,,
CARNESECCHI,P,ATA,carnesecchi.png,carnesecchi_avatar.png,4.63,6.35,0,1,5.3,6.19,0,0,3.5,6.5,0,0,0.07,13,6.19,5.3,27.0,2426.0,0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,32,4,5,4,6.4,Seconda,5.17,27.0,100.0,81.9,77.3,79.3,82.3,83.8,78.3,AUDERO,CRAGNO,AUDERO,MILINKOVIC-SAVIC V.,38.0,97.0,56.0,97.0,MILINKOVIC-SAVIC V.,PROVEDEL,SVILAR,MERET,MAIGNAN,21,35,70,19,32,64,23,38,76,34,56,112,,20.0,33.0,66.0,19.0,32.0,64.0,16.0,27.0,54.0,20.0,34.0,68.0,20.0,33.0,66.0,20.0,33.0,66.0,20.0,34.0,68.0,21.0,35.0,70.0,21.0,35.0,70.0,20.0,34.0,68.0,20.0,33.0,66.0,23.0,39.0,78.0,23.0,39.0,78.0,18.0,30.0,60.0,95.0,,
PROVEDEL,P,LAZ,provedel.png,provedel_avatar.png,5.46,6.26,0,0,5.13,6.23,0,0,4.0,5.67,0,0,0.067,12,6.23,5.13,30.0,2699.0,0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,28,5,5,3,5.6,Seconda,5.16,30.0,100.0,81.3,77.3,79.4,83.2,83.8,78.3,VASQUEZ D.,MONTIPO',GOLLINI,MONTIPO',36.0,100.0,41.0,100.0,DE GEA,MILINKOVIC-SAVIC V.,CARNESECCHI,SVILAR,MERET,20,34,67,17,28,56,22,36,72,25,41,82,,17.0,28.0,56.0,17.0,28.0,56.0,18.0,30.0,60.0,18.0,30.0,60.0,18.0,30.0,60.0,18.0,30.0,60.0,17.0,28.0,56.0,20.0,32.0,65.0,20.0,34.0,67.0,20.0,34.0,67.0,20.0,34.0,67.0,22.0,38.0,75.0,22.0,38.0,75.0,18.0,30.0,60.0,95.0,,
TERRACCIANO,P,FIO,terracciano.png,terracciano_avatar.png,4.78,6.0,0,0,5.26,6.27,0,0,5.17,6.17,0,0,0.006,11,6.27,5.26,33.0,2970.0,0,0.0,3.0,0.0,0.0,0.0,35.0,1.0,3,3,4,4,0.6,Scommesse,5.02,33.0,100.0,81.3,77.3,80.1,82.6,84.6,78.7,SKORUPSKI,MILINKOVIC-SAVIC V.,SKORUPSKI,CRAGNO,37.0,100.0,19.0,97.0,SCUFFET,CAPRILE,SUZUKI,PERIN,OKOYE,2,3,6,2,3,6,22,37,74,11,19,38,,9.0,15.0,30.0,2.0,3.0,6.0,2.0,3.0,6.0,5.0,8.0,16.0,5.0,8.0,16.0,5.0,8.0,16.0,3.0,5.0,10.0,7.0,11.0,22.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,3.0,5.0,10.0,3.0,5.0,10.0,2.0,4.0,8.0,50.0,,
FALCONE,P,LEC,falcone.png,falcone_avatar.png,5.09,6.25,0,0,4.91,6.25,0,0,4.17,6.33,0,0,0.0139999999999999,9,6.25,4.91,38.0,3420.0,0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,11,5,4,5,2.2,Terza,4.89,38.0,100.0,80.7,77.3,78.2,82.9,82.6,77.8,VASQUEZ D.,MAIGNAN,PROVEDEL,MONTIPO',56.0,100.0,45.0,97.0,MONTIPO',GOLLINI,SKORUPSKI,DE GEA,MILINKOVIC-SAVIC V.,4,7,14,7,11,22,34,56,112,27,45,90,,8.0,13.0,26.0,7.0,11.0,22.0,4.0,7.0,14.0,5.0,8.0,16.0,4.0,7.0,14.0,5.0,9.0,18.0,6.0,10.0,20.0,4.0,8.0,15.0,4.0,7.0,14.0,4.0,7.0,14.0,4.0,7.0,14.0,6.0,10.0,20.0,5.0,9.0,18.0,3.0,5.0,10.0,95.0,,
MILINKOVIC-SAVIC V.,P,TOR,milinkovic-savic_v.png,milinkovic-savic_v_avatar.png,4.89,6.03,0,0,5.24,6.12,0,0,6.67,6.83,0,0,0.035,10,6.12,5.24,36.0,3240.0,0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,19,5,4,5,3.8,Seconda,5.08,36.0,100.0,81.4,77.3,80.7,82.5,84.6,79.1,SKORUPSKI,DE GEA,CARNESECCHI,AUDERO,51.0,100.0,56.0,97.0,SKORUPSKI,DE GEA,PROVEDEL,CARNESECCHI,SVILAR,11,18,35,11,19,38,31,51,102,34,56,112,,11.0,18.0,36.0,11.0,19.0,38.0,12.0,20.0,40.0,12.0,20.0,40.0,12.0,20.0,40.0,12.0,20.0,40.0,12.0,20.0,40.0,11.0,18.0,35.0,11.0,18.0,35.0,11.0,18.0,36.0,11.0,18.0,36.0,13.0,21.0,42.0,13.0,21.0,42.0,14.0,22.0,45.0,95.0,,
SKORUPSKI,P,BOL,skorupski.png,skorupski_avatar.png,4.97,6.19,0,0,5.33,6.17,0,0,5.67,6.33,0,0,0.0279999999999999,11,6.17,5.33,32.0,2880.0,0,0.0,2.0,0.0,0.0,0.0,29.0,1.0,15,4,4,4,3.0,Terza,5.03,32.0,100.0,81.1,77.3,79.5,82.7,84.1,78.3,VASQUEZ D.,MAIGNAN,DE GEA,MILINKOVIC-SAVIC V.,60.0,100.0,51.0,100.0,GOLLINI,FALCONE,DE GEA,MILINKOVIC-SAVIC V.,PROVEDEL,8,14,28,9,15,30,36,60,120,31,51,102,,10.0,17.0,34.0,9.0,15.0,30.0,10.0,16.0,32.0,10.0,16.0,32.0,10.0,16.0,32.0,10.0,16.0,32.0,10.0,16.0,32.0,9.0,15.0,30.0,8.0,14.0,28.0,9.0,14.0,29.0,9.0,15.0,30.0,11.0,18.0,36.0,11.0,18.0,36.0,8.0,13.0,26.0,75.0,,
AUDERO,P,COM,audero.png,audero_avatar.png,4.88,6.3,0,0,5.25,6.0,0,0,0.0,0.0,0,0,0.0069999999999999,9,6.0,5.25,4.0,337.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5,4,4,4,1.0,Quarta,4.88,4.0,100.0,77.9,75.8,77.1,79.9,82.3,78.7,CARNESECCHI,CRAGNO,CARNESECCHI,MILINKOVIC-SAVIC V.,38.0,97.0,56.0,97.0,PERIN,OKOYE,MONTIPO',GOLLINI,FALCONE,2,3,7,3,5,10,23,38,76,34,56,112,,4.0,7.0,14.0,3.0,5.0,10.0,2.0,3.0,6.0,4.0,6.0,12.0,2.0,3.0,6.0,4.0,6.0,12.0,2.0,3.0,6.0,3.0,5.0,10.0,2.0,3.0,7.0,2.0,3.0,6.0,2.0,3.0,6.0,3.0,5.0,9.0,2.0,4.0,8.0,1.0,1.0,2.0,50.0,,
GOLLINI,P,GEN,gollini.png,gollini_avatar.png,5.21,6.07,0,0,4.86,6.0,0,0,4.17,5.67,0,0,0.018,10,6.0,4.86,7.0,630.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7,4,3,4,1.4,Quarta,5.0,7.0,100.0,59.9,54.0,58.5,61.8,62.9,55.8,PROVEDEL,MONTIPO',AUDERO,DI GREGORIO,41.0,100.0,59.0,97.0,AUDERO,MONTIPO',FALCONE,SKORUPSKI,DE GEA,5,9,18,4,7,14,25,41,82,35,59,118,,6.0,10.0,20.0,4.0,7.0,14.0,5.0,8.0,16.0,5.0,8.0,16.0,7.0,11.0,22.0,5.0,8.0,16.0,7.0,11.0,22.0,6.0,10.0,19.0,5.0,9.0,18.0,5.0,9.0,18.0,5.0,9.0,18.0,6.0,10.0,20.0,6.0,10.0,20.0,5.0,9.0,18.0,75.0,,
MONTIPO',P,VER,montipo.png,montipo_avatar.png,4.66,6.19,0,0,4.99,6.31,0,0,5.17,6.17,0,0,0.008,7,6.31,4.99,37.0,3330.0,0,1.0,0.0,0.0,0.0,0.0,49.0,0.0,6,5,4,5,1.2,Quarta,4.95,37.0,100.0,80.8,77.3,78.3,83.1,82.5,77.9,VASQUEZ D.,PROVEDEL,GOLLINI,PROVEDEL,36.0,100.0,41.0,100.0,OKOYE,AUDERO,GOLLINI,FALCONE,SKORUPSKI,2,4,8,4,6,12,22,36,72,25,41,82,,4.0,6.0,12.0,4.0,6.0,12.0,4.0,6.0,12.0,4.0,6.0,12.0,4.0,6.0,12.0,4.0,6.0,12.0,3.0,5.0,10.0,3.0,5.0,9.0,2.0,4.0,8.0,2.0,4.0,8.0,2.0,4.0,8.0,3.0,5.0,10.0,3.0,5.0,10.0,2.0,4.0,8.0,95.0,,
OKOYE,P,UDI,okoye.png,okoye_avatar.png,-,-,0,0,4.93,6.17,0,0,5.5,6.33,0,0,0.01,7,6.17,4.93,21.0,1890.0,0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,5,4,4,5,1.0,Quarta,4.95,21.0,100.0,78.0,74.4,76.8,79.1,77.7,75.5,VASQUEZ D.,MAIGNAN,CARNESECCHI,AUDERO,50.0,100.0,42.0,97.0,SUZUKI,PERIN,AUDERO,MONTIPO',GOLLINI,3,5,10,3,5,10,30,50,100,25,42,84,,3.0,5.0,10.0,3.0,5.0,10.0,4.0,6.0,12.0,4.0,6.0,12.0,4.0,6.0,12.0,4.0,6.0,12.0,5.0,8.0,16.0,3.0,6.0,11.0,3.0,5.0,10.0,3.0,6.0,11.0,4.0,6.0,12.0,4.0,7.0,14.0,4.0,7.0,14.0,4.0,7.0,14.0,75.0,,
SUZUKI,P,PAR,suzuki.png,suzuki_avatar.png,-,-,0,0,-,-,0,0,4.83,5.83,0,0,0.006,7,6.31,7.4,32.0,2880.0,0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,3,4,3,5,0.6,Quarta,4.87,32.0,90.0,81.5,80.0,78.6,79.6,82.7,78.7,SKORUPSKI,JORONEN,DE GEA,JORONEN,19.0,97.0,21.0,97.0,CAPRILE,TERRACCIANO,PERIN,OKOYE,AUDERO,2,3,6,2,3,6,11,19,38,13,21,42,1 giornata - Salta Udinese (4a),2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,4.0,8.0,2.0,4.0,8.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,4.0,8.0,2.0,4.0,8.0,3.0,5.0,10.0,75.0,,
CAPRILE,P,NAP,caprile.png,caprile_avatar.png,-,-,0,0,5.22,6.26,0,0,0.0,0.0,0,0,0.002,2,6.26,5.22,23.0,2070.0,0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,2,2,4,3,0.4,Scommesse,4.86,23.0,100.0,79.6,74.4,79.4,80.5,79.7,77.0,DI GREGORIO,JORONEN,SKORUPSKI,VASQUEZ D.,50.0,100.0,19.0,97.0,VASQUEZ D.,SCUFFET,TERRACCIANO,SUZUKI,PERIN,1,1,2,1,2,4,30,50,100,11,19,38,,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,25.0,,
PERIN,P,JUV,perin.png,perin_avatar.png,6.05,6.41,0,0,5.67,6.0,0,0,0.0,0.0,0,0,0.002,2,6.0,5.67,3.0,225.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,2,5,4,0.6,Scommesse,5.25,3.0,100.0,57.9,54.0,54.5,60.5,59.5,54.1,FALCONE,MILINKOVIC-SAVIC V.,MERET,JORONEN,33.0,100.0,43.0,100.0,TERRACCIANO,SUZUKI,OKOYE,AUDERO,MONTIPO',1,1,2,2,3,6,20,33,66,26,43,86,,3.0,5.0,10.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,4.0,8.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,25.0,,
JORONEN,P,VEN,joronen.png,joronen_avatar.png,-,-,0,0,-,-,0,0,5.33,6.67,0,0,0.002,6,6.48,7.18,29.0,2610.0,0,0.0,1.0,0.0,0.0,0.0,36.0,1.0,1,4,3,4,0.2,Quarta,4.72,29.0,100.0,81.9,77.3,77.5,83.1,82.3,77.3,SKORUPSKI,MAIGNAN,SKORUPSKI,MERET,59.0,97.0,55.0,97.0,BERARDI A.,BAGNOLINI,MARTINEZ JO.,VASQUEZ D.,SCUFFET,1,1,2,1,1,2,35,59,118,33,55,110,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,75.0,,
SCUFFET,P,CAG,scuffet.png,scuffet_avatar.png,-,-,0,0,4.31,6.13,0,0,5.67,6.33,0,0,0.004,7,6.13,4.31,31.0,2789.0,0,0.0,3.0,0.0,0.0,0.0,55.0,0.0,2,4,4,5,0.4,Quarta,4.81,31.0,100.0,80.8,77.3,77.8,83.3,82.7,77.6,PROVEDEL,CRAGNO,PROVEDEL,MILINKOVIC-SAVIC V.,31.0,97.0,49.0,97.0,MARTINEZ JO.,VASQUEZ D.,CAPRILE,TERRACCIANO,SUZUKI,1,2,4,1,2,4,19,31,62,29,49,98,,2.0,3.0,6.0,1.0,2.0,4.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,6.0,2.0,3.0,6.0,1.0,2.0,4.0,75.0,,
VASQUEZ D.,P,EMP,vasquez_d.png,vasquez_d_avatar.png,0.0,0.0,0,0,-,-,0,0,5.5,6.33,0,0,0.002,5,6.2,6.92,10.0,826.0,0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,2,4,3,5,0.4,Quarta,4.68,9.0,90.0,58.6,54.0,56.8,60.3,61.2,55.1,SKORUPSKI,MAIGNAN,PROVEDEL,MONTIPO',60.0,100.0,36.0,100.0,JORONEN,MARTINEZ JO.,SCUFFET,CAPRILE,TERRACCIANO,1,1,2,1,2,4,36,60,120,22,36,72,,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,75.0,,
BAGNOLINI,P,BOL,bagnolini.png,bagnolini_avatar.png,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.002,1,0.0,0.0,1.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,4,0.2,Non Impostata,4.75,0.0,0.0,57.8,54.0,54.0,60.5,59.1,54.0,VASQUEZ D.,MAIGNAN,DE GEA,MILINKOVIC-SAVIC V.,46.0,100.0,37.0,100.0,BERTINATO,BERARDI A.,JORONEN,MARTINEZ JO.,VASQUEZ D.,1,1,2,1,1,2,28,46,92,22,37,74,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,
BERARDI A.,P,VER,berardi_a.png,berardi_a_avatar.png,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.002,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,5,0.2,Non Impostata,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VASQUEZ D.,PROVEDEL,GOLLINI,PROVEDEL,31.0,100.0,36.0,100.0,BRANCOLINI,BERTINATO,BAGNOLINI,JORONEN,MARTINEZ JO.,1,1,2,1,1,2,19,31,62,22,36,72,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,
BERTINATO,P,VEN,bertinato.png,bertinato_avatar.png,-,-,0,0,-,-,0,0,0.0,0.0,0,0,0.002,1,6.16,7.06,9.0,810.0,0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1,2,3,4,0.2,Non Impostata,4.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SKORUPSKI,MAIGNAN,SKORUPSKI,MERET,59.0,97.0,55.0,97.0,CHICHIZOLA,BRANCOLINI,BERARDI A.,BAGNOLINI,JORONEN,1,1,2,1,1,2,35,59,118,33,55,110,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,25.0,,
BRANCOLINI,P,EMP,brancolini.png,brancolini_avatar.png,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.001,1,5.87,6.32,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,4,0.2,Non Impostata,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SKORUPSKI,MAIGNAN,PROVEDEL,MONTIPO',59.0,100.0,35.0,100.0,CHRISTENSEN O.,CHICHIZOLA,BERTINATO,BERARDI A.,BAGNOLINI,0,0,1,1,1,2,35,59,118,21,35,70,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,25.0,,
CHICHIZOLA,P,PAR,chichizola.png,chichizola_avatar.png,-,-,0,0,-,-,0,1,0.0,0.0,0,0,0.002,1,6.32,7.39,37.0,3251.0,0,1.0,3.0,0.0,0.0,0.0,33.0,0.0,1,2,3,4,0.2,Outsider,4.81,36.0,97.0,81.9,77.3,77.5,83.1,82.3,77.3,SKORUPSKI,JORONEN,DE GEA,JORONEN,17.0,97.0,19.0,97.0,CONTINI,CHRISTENSEN O.,BRANCOLINI,BERTINATO,BERARDI A.,1,1,2,1,1,2,10,17,34,11,19,38,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,25.0,,
CHRISTENSEN O.,P,FIO,christensen_o.png,christensen_o_avatar.png,-,-,0,0,3.25,5.5,0,0,0.0,0.0,0,0,0.002,1,5.5,3.25,4.0,360.0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1,2,3,4,0.2,Outsider,4.75,4.0,100.0,57.8,54.0,54.0,60.5,59.1,54.0,SKORUPSKI,MILINKOVIC-SAVIC V.,SKORUPSKI,CRAGNO,35.0,100.0,17.0,97.0,CORVI,CONTINI,CHICHIZOLA,BRANCOLINI,BERTINATO,1,1,2,1,1,2,21,35,70,10,17,34,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,25.0,,
CONTINI,P,NAP,contini.png,contini_avatar.png,0.0,0.0,0,0,6.0,6.0,0,0,0.0,0.0,0,0,0.002,1,6.0,6.0,1.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,5,0.2,Non Impostata,4.5,0.0,0.0,57.8,54.0,54.0,60.5,59.1,54.0,DI GREGORIO,JORONEN,SKORUPSKI,VASQUEZ D.,49.0,100.0,18.0,97.0,CRAGNO,CORVI,CHRISTENSEN O.,CHICHIZOLA,BRANCOLINI,1,1,2,1,1,2,29,49,98,11,18,36,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,
